index,date,domain,IP,DNS
62,2018-01-28 16:01:12.081361+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
63,2018-01-28 17:01:12.313185+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
64,2018-01-28 18:01:12.435628+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
65,2018-01-28 19:01:12.541335+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
66,2018-01-28 20:01:12.619142+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
67,2018-01-28 21:01:12.741913+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
68,2018-01-28 22:01:12.942703+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
69,2018-01-28 23:01:13.015282+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
70,2018-01-29 00:01:13.253148+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
71,2018-01-29 01:01:13.310944+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
72,2018-01-29 02:01:13.410912+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
73,2018-01-29 03:01:13.490017+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
74,2018-01-29 04:01:13.611078+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
75,2018-01-29 05:01:13.761641+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
76,2018-01-29 06:01:13.999352+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
77,2018-01-29 07:01:14.095293+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
78,2018-01-29 08:01:14.204107+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
79,2018-01-29 09:01:14.399379+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
80,2018-01-29 10:01:14.514030+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
